;titulo;data_lancamento;nota_media;numero_votos;popularidade;lingua_original;descricao
197;Wicked;20/11/2024;6.935;2275;231.461;en;"Elphaba é uma jovem como outra qualquer do Reino de Oz, mas incompreendida por causa de sua pele verde incomum e por ainda não ter descoberto seu verdadeiro poder. Sua rotina é tranquila e pouco interessante, mas ao iniciar seus estudos na Universidade de Shiz, seu destino encontra Glinda, uma jovem popular e ambiciosa, nascida em berço de ouro, que só quer garantir seus privilégios e ainda não conhece sua verdadeira alma. As duas iniciam uma inesperada amizade; no entanto, suas diferenças, como o desejo de Glinda pela popularidade e poder, e a determinação de Elphaba em permanecer fiel a si mesma, entram no caminho, o que pode perpetuar no futuro de cada uma e em como as pessoas de Oz as enxergam."
198;Harry Potter e a Câmara Secreta;13/11/2002;7.707;22670;231.459;en;Carros voadores, árvores que lutam e um misterioso elfo, com um aviso ainda mais misterioso. Harry Potter está pronto para dar início ao segundo ano de sua maravilhosa jornada no mundo da bruxaria. Em Hogwarts nesse ano, aranhas falam, cartas dão broncas e a habilidade de Harry para falar com cobras voltará contra ele. De clubes de duelo a jogadores de quadribol desonestos, esse será um ano de aventura e perigo para todos. Quando a mensagem sangrenta na parede anuncia que a Câmara Secreta foi aberta, Harry, Rony e Hermione percebem que para salvar Hogwarts será preciso muita mágica e coragem. Confira essa enfeitiçante adaptação do segundo livro da obra da escritora J.K. Rowling e prepare-se para ficar petrificado quando Harry Potter demonstrar que, mais que um bruxo, é um verdadeiro herói.
199;Duna: Parte Dois;27/02/2024;8.1;6853;230.249;en;A jornada de Paul Atreides continua. Ele está determinado a buscar vingança contra aqueles que destruíram sua família e seu lar. Com a ajuda de Chani e dos Fremen, ele embarca em uma jornada espiritual, mística e marcial. Se torna Muad'Dib, o líder messiânico dos Fremen, enquanto luta para evitar um futuro sombrio que ele testemunhou em visões. No entanto, suas ações inadvertidamente desencadeiam uma Guerra Santa em seu nome, que se espalha pelo universo conhecido. Enquanto enfrenta escolhas difíceis entre o amor por Chani e o destino de seu povo, Paul precisa usar suas habilidades e conhecimentos para evitar o terrível futuro que previu.
200;Der Frühreifen-Report;16/08/1973;5.522;45;229.871;de;
201;Bad Boys: Até o Fim;05/06/2024;7.373;2979;228.253;en;Depois que seu falecido ex-capitão é incriminado, Lowrey e Burnett tentam limpar seu nome, apenas para acabarem se tornando os mais procurados de Miami.
202;Avatar;15/12/2009;7.6;32411;228.016;en;Apesar de não ter mais os movimentos da perna, o ex-fuzileiro naval Jake Sully ainda sente que pode ser um guerreiro. Sua intuição começa a se tornar realidade quando ele viaja anos-luz até a estação espacial montada no Planeta Pandora. Habitado por grandes seres azuis, os Na´vi, o local tem uma atmosfera fatal para qualquer terrestre. Por isso, oficiais criaram o programa Avatar, em que um corpo biológico, híbrido de humano e Na´vi, pode ser comandado a distância.
203;Bambi: Uma aventura na floresta;16/10/2024;5.9;32;227.412;fr;Em Bambi: Uma Aventura na Floresta, um jovem cervo que, ao lado da sabedoria e do amor da sua mãe, aprende lições necessárias para sobreviver na floresta. Com o carinho e a amizade dos outros animais, como o corvo, o coelho e o guaxinim, Bambi explora as maravilhas da natureza e se encanta com o mundo à sua volta. Com a chegada do outono, porém, a vida do pequeno cervo muda drasticamente, quando sua mãe morre nas mãos de caçadores, separando os dois para sempre. Sozinho e em luto, Bambi precisa canalizar toda a força materna aprendida para superar as adversidades. É através de um reencontro com a amiga de infância Faline e os conselhos do Príncipe da Floresta, um majestoso cervo que termina por ser seu pai, Bambi se prepara para os desafios e os perigos que o esperam. Sob a proteção paterna e o cultivo da esperança, Bambi amadurece e se fortalece, devagar assumindo o controle de seu destino e vivendo em harmonia apesar das dificuldades.
204;Parasita;30/05/2019;8.499;19267;226.771;ko;Toda a família de Ki-taek está desempregada, vivendo num porão sujo e apertado. Uma obra do acaso faz com que o filho adolescente da família comece a dar aulas de inglês à garota de uma família rica. Fascinados com a vida luxuosa destas pessoas, pai, mãe, filho e filha bolam um plano para se infiltrarem também na família glamorosa, um a um. No entanto, os segredos e mentiras necessários à ascensão social custarão caro a todos.
205;Given, o filme: Ao Mar;20/09/2024;7.429;7;226.758;ja;Enquanto todos ao seu redor estão decididos a viver de música, Mafuyu se sente preso e com medo do que o futuro lhe reserva.
206;Crepúsculo;20/11/2008;6.286;13869;225.611;en;Isabella Swan é uma adolescente que vai morar com seu pai em uma nova cidade depois que sua mãe decide casar-se novamente. No colégio, ela fica fascinada por Edward Cullen, um garoto que esconde um segredo obscuro. Eles se apaixonam, mas Edward sabe que quanto mais avançam no relacionamento, mais ele está colocando Bella e aqueles à sua volta em perigo.
207;Quarteto Fantástico;29/06/2005;5.79;9540;225.524;en;O cientista Reed Richards convence seu arrogante colega Victor von Doom a financiar seus experimentos com energia cósmica. Na estação espacial Von Doom, a tripulação, incluindo o astronauta Ben Grimm, a pesquisadora Sue Storm e o piloto Johnny Storm, é exposta a uma tempestade cósmica misteriosa que dá superpoderes a eles. Eles tentam lidar com suas transformações enquanto o detestável von Doom jura vingança.
208;L'alcova;21/01/1985;5.379;33;224.304;it;
209;Encantadora de Tubarões;30/06/2025;6.636;22;221.593;en;A conservacionista marinha e ativista Ocean Ramsey não tem medo de nadar com tubarões. Um documentário sobre a arriscada missão de proteger esses animais.
210;A Fonte da Juventude;19/05/2025;6.375;593;221.067;en;Um gênio da caça ao tesouro reúne uma equipe para uma aventura que pode mudar sua vida. Mas para enganar e fugir das ameaças a cada passo, ele precisará de alguém ainda mais inteligente do que ele: sua distante irmã.
211;Seven - Os Sete Crimes Capitais;22/09/1995;8.376;21880;220.938;en;Quando, a ponto de se aposentar, o detetive William Somerset aborda o último caso com a ajuda do recém-transferido David Mills, eles descobrem uma série de assassinatos. Logo percebem que estão lidando com um assassino que tem como alvo pessoas que ele acredita representar os sete pecados capitais.
212;Perdão em Tempos de Guerra;04/05/2023;6.0;4;220.843;ru;O jovem sargento Lyubomir Zukh, que nunca enfrentou o combate, abandona sua unidade por três horas para se despedir da namorada. Considerado desertor pela lei, ele é sentenciado com a pena de morte. Mas, será que o sistema pode encontrar uma maneira de perdoá-lo?
213;Se Beber, Não Case!;02/06/2009;7.325;17351;220.719;en;Dois dias antes de seu casamento, Doug e três amigos vão de carro até Las Vegas para uma louca e memorável despedida de solteiro. Quando os três padrinhos acordam na manhã seguinte, eles não conseguem se lembrar de nada e notam que Doug desapareceu. Com pouco tempo de sobra, os amigos tentam refazer a noite anterior e encontrar Doug para que possam levá-lo de volta a Los Angeles a tempo de chegar ao altar.
214;Clube da Luta;15/10/1999;8.437;30496;218.585;en;Um homem deprimido que sofre de insônia conhece um estranho vendedor de sabonetes chamado Tyler Durden. Eles formam um clube clandestino com regras rígidas onde lutam com outros homens cansados de suas vidas mundanas. Mas sua parceria perfeita é comprometida quando Marla chama a atenção de Tyler.
215;Piratas do Caribe: A Maldição do Pérola Negra;09/07/2003;7.811;21269;216.866;en;O pirata Jack Sparrow tem seu navio saqueado e roubado pelo capitão Barbossa e sua tripulação. Com o navio de Sparrow, Barbossa invade a cidade de Port Royal, levando consigo Elizabeth Swann, filha do governador. Para recuperar sua embarcação, Sparrow recebe a ajuda de Will Turner, um grande amigo de Elizabeth. Eles desbravam os mares em direção à misteriosa Ilha da Morte, tentando impedir que os piratas-esqueleto derramem o sangue de Elizabeth para desfazer a maldição que os assola.
216;Ghostlight;14/06/2024;7.305;59;21.671;en;
217;Predador: Terras Selvagens;05/11/2025;0.0;0;215.882;en;No futuro, em um planeta remoto, um jovem Predador, rejeitado por seu clã, encontra em Thia uma aliada improvável e embarca em uma jornada traiçoeira em busca do adversário supremo.
218;Liga da Justiça de Zack Snyder;18/03/2021;8.116;10304;21.586;en;Determinado a garantir que o sacrifício final do Superman não foi em vão, Bruce Wayne alinha forças com Diana Prince com planos de recrutar uma equipe de metahumanos para proteger o mundo de uma ameaça de proporções catastróficas que se aproxima.
219;Matrix;31/03/1999;8.229;26586;215.484;en;Thomas Anderson, um jovem programador de computador que mora em um cubículo escuro, é atormentado por estranhos pesadelos nos quais encontra-se conectado por cabos e contra sua vontade, em um imenso sistema de computadores do futuro. Em todas essas ocasiões, acorda gritando no exato momento em que os eletrodos estão para penetrar em seu cérebro. À medida que o sonho se repete, Anderson começa a ter dúvidas sobre a realidade. Por meio do encontro com os misteriosos Morpheus e Trinity, Thomas descobre que é, assim como outras pessoas, vítima da Matrix, um sistema inteligente e artificial que manipula a mente das pessoas, criando a ilusão de um mundo real enquanto usa os cérebros e corpos dos indivíduos para produzir energia. Morpheus, entretanto, está convencido de que Thomas é Neo, o aguardado messias capaz de enfrentar a Matrix e conduzir as pessoas de volta à realidade e à liberdade.
220;Transformers: O Despertar das Feras;06/06/2023;7.221;4967;215.274;en;Nesta aventura cheia de adrenalina, Optimus Prime e os Autobots enfrentam seu maior desafio até agora. Quando uma nova ameaça capaz de destruir todo o planeta surge, eles devem se unir a uma poderosa facção conhecida como os Maximals. Com o destino da humanidade em jogo, Noah (Anthony Ramos) e Elena (Dominique Fishback) farão o que for preciso para ajudar os Transformers na batalha final para salvar a Terra.
221;After;11/04/2019;7.12;8371;214.968;en;Tessa Young é uma jovem com uma vida simples, ótimas notas na escola, muitos amigos e um bom namorado. Todos os próximos passos de sua vida já estão planejados, mas as coisas mudam quando ela conhece um homem atraente e cheio de segredos sombrios.
222;Superman: O Filme;14/12/1978;7.1;4011;214.202;en;Jor-El, um renomado cientista, prevê a destruição do seu planeta e alerta o governo, que não lhe dá credito. Assim, decide salvar seu filho, mandando-o ao planeta Terra, onde terá superpoderes. Na Terra, ele usa o nome de Clark Kent e, já adulto, trabalha como repórter em um jornal, não demonstra ter superpoderes. Mas quando uma situação inesperada põe em risco a vida de Lois Lane, uma colega de trabalho, ele é obrigado a se revelar para o público, ficando conhecido popularmente como Superman. Descontente com o surgimento de um super-herói na cidade, Lex Luthor, um gênio do mal, o obriga a se desdobrar para evitar a morte de milhões de pessoas.
223;Operação Natal;31/10/2024;7.0;2580;213.759;en;Depois que o Papai Noel – codinome: Das Neves – é sequestrado, o Chefe de Segurança do Polo Norte deve se unir ao mais infame caçador de recompensas do mundo em uma missão global e cheia de ação para salvar o Natal.
224;Super Mario Bros. O Filme;05/04/2023;7.6;9831;213.035;en;Os irmãos Mario e Luigi, de ascendência italiana, vivem em Brooklyn (Nova Iorque), onde trabalham como canalizadores. Certo dia, durante um serviço de reparação de uma conduta de água, são sugados por um tubo e transportados para o Reino Cogumelo, um universo paralelo governado pela Princesa Peach. Sem saber do paradeiro do irmão, Mario vai ter de aprender a sobreviver naquele lugar, adquirindo capacidades bizarras mas que serão grandes mais-valias para destruir os planos de Bowser, um verdadeiro vilão que tenciona dominar o mundo.
225;Toy Story: Um Mundo de Aventuras;22/11/1995;7.969;18974;212.338;en;Buzz Lightyear é o novo e sofisticado astronauta de brinquedo do garoto Andy. Buzz não imaginava que encontraria um rival: Woody, um cowboy de brinquedo que, dominado pelo ciúme, acredita ter perdido um lugar precioso no coração do seu dono. Os dois brinquedos vivem brigando até que vão parar nas garras do vizinho, um verdadeiro destruidor de brinquedos. Agora, mais do que nunca, Buzz e Woody precisam precisam se unir para escapar do perigo. Com a ajuda de seus amigos da caixa de brinquedos, eles vão viver uma incrível aventura.
226;Solo Leveling -Segundo Despertar-;26/11/2024;7.0;229;211.689;ja;Mais de uma década após o surgimento dos “portões” que ligam os mundos, despertando “caçadores” com superpoderes, o caçador mais fraco, Sung Jinwoo, encontra uma masmorra dupla e aceita uma missão misteriosa, tornando-se o único capaz de subir de nível, mudando seu destino. Uma recapitulação da primeira temporada, juntamente com uma prévia exclusiva dos dois primeiros episódios da tão esperada segunda temporada, em uma experiência teatral memorável para os fãs.
227;Sovereign;11/07/2025;6.738;21;211.353;en;Pai e filho, que se identificam como Cidadãos Soberanos, um grupo de extremistas antigovernamentais, se veem em um impasse com um chefe de polícia, o que dá início a uma caçada humana.
228;O Esquema Fenício;23/05/2025;6.737;405;210.835;en;"O excêntrico magnata Zsa-zsa Korda já sobreviveu a seis acidentes de avião e é pai de nove filhos homens e uma única menina, a freira Liesl. Ele determina que ela seja a única herdeira de seu patrimônio, mas antes, pede a ajuda da filha para garantir que seu projeto de vida saia do papel, o ""Korda Land and Sea Phoenician Infrasctructure Scheme"". Agora, eles precisarão viajar pelo mundo acompanhados pelo ingênuo tutor Bjorn negociar com empresários, empreiteiros e criminosos perigosos, confundindo-os sobre suas intenções para afastá-los do esquema."
229;Duna;15/09/2021;7.783;13736;209.451;en;Em um futuro distante, planetas são comandados por casas nobres que fazem parte de um império feudal intergalático. Paul Atreides é um jovem cuja família toma o controle do planeta deserto Arrakis, também conhecido como Duna. A única fonte da especiaria Melange, a substância mais importante do cosmos, Arrakis se mostra ser um planeta nem um pouco fácil de governar.
230;Sikandar;29/03/2025;4.8;56;208.329;hi;Um trágico acidente leva o poderoso Sikandar a proteger os menos afortunados, usando de todos os meios para enfrentar a corrupção e a ganância.
231;Shrek;18/05/2001;7.753;17822;205.511;en;Em um pântano distante vive Shrek, um ogro solitário que vê, sem mais nem menos, sua vida ser invadida por uma série de personagens de contos de fada, como três ratos cegos, um grande e malvado lobo e ainda três porcos que não têm um lugar onde morar. Todos eles foram expulsos de seus lares pelo maligno Lorde Farquaad. Determinado a recuperar a tranquilidade de antes, Shrek resolve encontrar Farquaad e com ele faz um acordo: todos os personagens poderão retornar aos seus lares se ele e seu amigo Burro resgatarem uma bela princesa, que é prisioneira de um dragão. Porém, quando Shrek e o Burro enfim conseguem resgatar a princesa logo eles descobrem que seus problemas estão apenas começando.
232;Matador de Aluguel;08/03/2024;6.952;2589;205.323;en;Um ex lutador de UFC aceita um trabalho como segurança em uma taberna em Florida Keys, apenas para descobrir que este não é o paraíso que parecia ser.
233;O Lobo de Wall Street;25/12/2013;8.028;24798;204.329;en;Durante seis meses, Jordan Belfort trabalhou duro em uma corretora de Wall Street, seguindo os ensinamentos de seu mentor Mark Hanna. Quando finalmente consegue ser contratado como corretor da firma, acontece o Black Monday, que faz com que as bolsas de vários países caiam repentinamente. Sem emprego e bastante ambicioso, ele acaba trabalhando para uma empresa de fundo de quintal que lida com papéis de baixo valor, que não estão na bolsa de valores. É lá que Belfort tem a idéia de montar uma empresa focada neste tipo de negócio, cujas vendas são de valores mais baixos mas, em compensação, o retorno para o corretor é bem mais vantajoso. Ao lado de Donnie e outros amigos dos velhos tempos, ele cria a Stratton Oakmont, uma empresa que faz com que todos enriqueçam rapidamente e, também, levem uma vida dedicada ao prazer.
234;Devara: Rei dos Mares - Parte 1;26/09/2024;7.0;197;203.521;te;Uma saga épica de ação ambientada em terras costeiras, que narra incidentes emocionantes e carregados de emoção na linha do tempo periódica, e cujo protagonista é o salvador dos desfavorecidos e o terror dos malfeitores.
235;A Trindade Profana;13/06/2025;6.57;43;203.233;en;Ambientado no turbulento cenário de Montana na década de 1870, momentos antes da execução de Isaac Broadway, ele dá ao seu filho distante, Henry, uma tarefa impossível: assassinar o homem que o incriminou por um crime que não cometeu. Determinado a cumprir sua promessa, Henry viaja para a remota cidade de Trinity, onde uma reviravolta inesperada o aprisiona na cidade e o deixa preso entre Gabriel Dove, o novo e honrado xerife da cidade, e uma figura misteriosa chamada São Cristóvão.
236;Acompanhante Perfeita;22/01/2025;7.079;1477;202.875;en;Josh e Iris parecem ser o casal ideal, até que um incidente mortal em uma viagem com amigos revela um segredo sombrio: Iris é uma androide criada para satisfazer Josh. E o que era para ser perfeito logo se torna incontrolável.
237;Aşk Sadece Bir An;14/02/2025;7.4;7;202.739;tr;
238;Corações de Ferro;15/10/2014;7.541;12388;201.886;en;Durante o final da Segunda Guerra Mundial, um grupo de cinco soldados americanos é encarregado de atacar os nazistas dentro da própria Alemanha. Apesar de estarem em quantidade inferior e terem poucas armas, eles são liderados pelo enfurecido Wardaddy, sargento que pretende levá-los à vitória, enquanto ensina o novato Norman a lutar.
239;Pleasure;08/10/2021;6.334;692;20.092;sv;Bella chega a Los Angeles de sua cidade natal, na Suécia, com sonhos de se tornar a próxima estrela pornô. Entretanto, como sua impiedosa ambição a leva a um território cada vez mais perigoso, Bella luta para conciliar seus sonhos de empoderamento com a realidade do lado mais obscuro da indústria.
240;Eddington;16/07/2025;7.09;39;20.053;en;Um casal fica preso em uma pequena cidade do Novo México durante a pandemia. Inicialmente bem acolhedora, a cidade dá uma guinada sinistra ao cair da noite.
241;O Senhor dos Anéis: O Retorno do Rei;17/12/2003;8.488;25268;20.013;en;O confronto final entre as forças do bem e do mal que lutam pelo controle do futuro da Terra Média se aproxima. Sauron planeja um grande ataque a Minas Tirith, capital de Gondor, o que faz com que Gandalf e Pippin partam para o local na intenção de ajudar a resistência. Um exército é reunido por Theoden em Rohan, em mais uma tentativa de deter as forças de Sauron. Enquanto isso, Frodo, Sam e Gollum seguem sua viagem rumo à Montanha da Perdição para destruir o anel.
242;Romance;14/04/1999;5.467;274;200.122;fr;
243;Mortal Kombat 2;22/10/2025;0.0;0;199.838;en;Os campeões favoritos dos fãs (agora acompanhados pelo próprio Johnny Cage) são colocados uns contra os outros na batalha final, sangrenta e sem barreiras para derrotar o governo sombrio de Shao Kahn, que ameaça a própria existência do Plano Terreno e seus defensores.
244;Harry Potter e o Prisioneiro de Azkaban;31/05/2004;8.012;22246;199.662;en;Quando a desprezível Tia Guida voa pelo céu na noite, Harry parte para o que será seu terceiro ano em Hogwarts. Um passeio no Nôitibus o leva para o Beco Diagonal onde ele fica sabendo que um prisioneiro foragido, Sirius Black está atrás dele. Em Hogwarts, Harry e seus amigos aprendem a delicada arte de se aproximar de um Hipogrifo, como transformar monstros em risadas e até mesmo a voltar no tempo. Dementadores sugadores de almas pairam sobre Hogwarts, ameaçando Harry, enquanto um seguidor de Aquele-Que-Não-Se-Deve-Nomear espreita pela escola. E Harry será forçado a confrontar todos eles. Dirigido por Alfonso Cuarón e baseado no terceiro livro de J.K. Rowling, essa maravilhosa história traz risadas, suspense e surpresas de tirar o fôlego, a especialidade dos filmes de Harry Potter. Prepare-se!
245;Invasão Zumbi;20/07/2016;7.754;7867;199.536;ko;A Coreia do Sul decreta estado de emergência após um vírus desconhecido tomar conta do país. Algumas pessoas tentam fugir de zumbis e ficam presas em um trem-bala que está a caminho de Busan, a única cidade que não foi afetada pelo vírus.
246;Cinquenta Tons de Liberdade;17/01/2018;6.693;8157;199.167;en;Superados os principais problemas, Anastasia e Christian agora têm amor, intimidade, dinheiro, sexo, relacionamento estável e um promissor futuro. A vida, no entanto, ainda reserva surpresas para os dois e fantasmas do passado como Jack Hyde e Elena Lincoln voltam a impedir a paz do casal.
247;Os Suspeitos;19/09/2013;8.097;12290;198.319;en;Depois que sua filha de seis anos e uma amiga dela são sequestradas, Keller Dove, um carpinteiro de Boston, enfrenta o departamento de polícia e o jovem detetive encarregado do caso para fazer justiça com as próprias mãos.
248;Como Treinar o Seu Dragão: Volta ao Lar;03/12/2019;8.03;1045;198.215;en;Soluço e Banguela se reúnem para lembrar as duas espécies do vínculo inseparável entre vikings e dragões.
249;Apocalipse Z: O Princípio do Fim;04/10/2024;6.7;1107;197.974;es;"Quando um tipo de raiva que transforma as pessoas em criaturas agressivas se espalha pelo planeta, Manel se isola em casa com seu gato, confiando em sua inteligência para sobreviver; mas logo eles precisam sair em busca de comida, por terra e por mar, esquivando-se de muitos perigos."
250;Harry Potter e o Cálice de Fogo;16/11/2005;7.8;21300;19.783;en;Quando o nome de Harry Potter emerge do Cálice de Fogo, ele se transforma em um competidor em uma extenuante batalha de magia entre três escolas de feiticeiros – o Torneio Tribruxo. Mas se Harry não se inscreveu para o tal torneio, quem o fez? Agora, Harry precisa confrontar um mortal dragão, ferozes demônios da água e um labirinto encantado aonde se deparará com Aquele-Que-Não-Deve-Ser-Nomeado. Nesta quarta adaptação da série Harry Potter, criada por J.K. Rowling, tudo está modificado, a começar pelo próprio Harry e seus inseparáveis amigos, Ron e Hermione, que deixam a infância para sempre e partem para desafios maiores do que tudo aquilo que um dia eles já imaginaram.
251;Guardiões da Galáxia: Vol. 3;03/05/2023;7.935;7500;197.457;en;Peter Quill, que ainda está se recuperando da perda de Gamora, tem que reunir a sua equipe para defender o universo e proteger um dos seus. Uma missão que, se não for concluída com sucesso, pode levar ao fim dos Guardiões como os conhecemos.
252;Homem de Ferro 2;28/04/2010;6.849;21573;196.424;en;Em um mundo ciente da existência do Homem de Ferro, o inventor bilionário Tony Stark sofre pressão de todos os lados para compartilhar sua tecnologia com as forças armadas. Ele resiste para divulgar os segredos de sua inigualável armadura, com medo de que estas informações caiam nas mãos erradas.
253;Missão: Impossível;22/05/1996;7.003;9394;19.595;en;Durante uma missão em Praga, um grupo especial de agentes cai em uma cilada. O americano Ethan Hunt descobre que apenas ele e outra agente sobreviveram. Tomado como informante, ele foge e começa a agir por conta própria. Com a ajuda de um novo grupo, ele vai tentar limpar seu nome, descobrindo quem foi o espião que armou para o seu time.
254;Toy Story 2;30/10/1999;7.6;14257;195.937;en;Quando Andy viaja para um acampamento de verão, Woody é sequestrado por Al, um ambiocioso colecionador, que precisa do brinquedo favorito de Andy para completar sua coleção da Gangue do Rodeio. Junto com Jessie, Bala no Alvo e Mineiro, Woody corre o risco de ter que passar o resto de sua vida em exposição num museu. Agora, Buzz, Sr. Cabeça de Batata, Porquinho, Rex e Slinky terão que salvar seu amigo e trazê-lo de volta à vida de brinquedos.
255;Super Happy Forever;27/01/2025;7.5;8;195.122;ja;19 de agosto de 2023. Os amigos de infância Sano e Miyata visitam um hotel resort em Izu, procurando um chapéu vermelho perdido enquanto revisitava os lugares onde Sano se conheceu e se apaixonou pela sua falecida esposa Nagi cinco anos antes.
256;Homem-Aranha;01/05/2002;7.313;19722;19.451;en;Peter Parker é um jovem estudioso que vive com seus tios, Ben e May, desde que seus pais faleceram. Peter tem dificuldade em se relacionar com seus colegas, por ser tímido e por eles o considerarem um nerd. Até que, em uma demonstração científica, um acidente inesperado faz com que uma aranha modificada geneticamente pique Peter. A partir de então seu corpo é quimicamente alterado pela picada da aranha.
257;Gladiador;04/05/2000;8.2;19876;194.113;en;Nos dias finais do reinado de Marcus Aurelius, o imperador desperta a ira de seu filho Commodus ao tornar pública sua predileção em deixar o trono para Maximus, o comandante do exército romano. Sedento pelo poder, Commodus mata seu pai, assume a coroa e ordena a morte de Maximus, que consegue fugir antes de ser pego e passa a se esconder sob a identidade de um escravo e gladiador do Império Romano.
258;Eden;10/04/2025;7.2;104;193.942;en;
259;Woodwalkers;17/10/2024;6.297;32;192.067;de;Carag, um puma metamorfo criado na natureza, ingressa na Clearwater High, uma escola para Woodwalkers. Com os amigos Holly (esquilo) e Brandon (bisão), ele navega pelos mistérios e perigos do mundo Woodwalker.
260;Forrest Gump: O Contador de Histórias;23/06/1994;8.469;28406;191.893;en;Quarenta anos da história dos Estados Unidos, vistos pelos olhos de Forrest Gump, um rapaz com QI abaixo da média e com boas intenções. Por obra do acaso, ele consegue participar de momentos cruciais, como a Guerra do Vietnã e o Caso Watergate, mas continua pensando no seu amor de infância, Jenny Curran.
261;Gato de Botas 2: O Último Pedido;07/12/2022;8.216;8296;191.729;en;O Gato de Botas descobre que sua paixão pela aventura cobrou seu preço: ele queimou oito de suas nove vidas, deixando-o com apenas uma vida restante. Gato parte em uma jornada épica para encontrar o mítico Último Desejo e restaurar suas nove vidas.
262;Ratatouille;28/06/2007;7.829;17643;191.318;en;Remy, morador de Paris, aprecia boa comida e tem um paladar bastante sofisticado. Ele adoraria se tornar um chef para poder criar e desfrutar de obras-primas culinárias para o deleite de seu coração. O único problema é que Remy é um rato. Quando acaba no esgoto debaixo de um dos melhores restaurantes de Paris, o roedor gourmet encontra-se na posição ideal para realizar o seu sonho.
263;Morlaix;14/03/2025;10.0;1;191.227;fr;
264;Diário de uma Paixão;25/05/2004;7.891;11985;190.972;en;Na década de 40, o operário Noah Calhoun e a rica Allie estão desesperadamente apaixonados, mas os pais da jovem não aprovam o namoro. Quando Noah vai para a Segunda Guerra Mundial, parece ser o fim do romance. Enquanto isso, Allie se envolve com outro homem. Mas quando Noah retorna para a pequena cidade anos mais tarde, próximo ao casamento de Allie, logo se torna claro que a paixão ainda não acabou.
265;Garota Exemplar;01/10/2014;7.89;19131;189.502;en;Amy Dunne desaparece no dia do seu aniversário de casamento, deixando o marido Nick em apuros. Ele começa a agir descontroladamente, abusando das mentiras, e se torna o suspeito número um da polícia. Com o apoio da sua irmã gêmea, Margo, Nick tenta provar a sua inocência e, ao mesmo tempo, procura descobrir o que aconteceu com Amy.
266;Mortal Kombat;07/04/2021;7.016;6020;189.447;en;O lutador de MMA Cole Young deve treinar para liberar seu verdadeiro poder para unir-se aos maiores campeões mundiais contra inimigos da Exoterra em uma batalha decisiva pelo universo.
267;Jurassic Park: O Parque dos Dinossauros;11/06/1993;7.959;16944;188.622;en;Um parque construído por um milionário tem dinossauros diversos como habitantes, extintos a sessenta e cinco milhões de anos. Isto é possível por ter sido encontrado um inseto fossilizado, que tinha sugado sangue destes dinossauros, de onde pôde-se isolar o DNA, o código químico da vida e, a partir deste ponto, recriá-los em laboratório. Mas, o que parecia ser um sonho se torna um pesadelo, quando a experiência sai do controle de seus criadores.
268;Miocardio;24/01/2025;6.0;4;188.604;es;
269;The Last Stand of Ellen Cole;18/10/2024;7.95;30;188.164;en;Um empreiteiro quer expulsar uma idosa... sem saber que ela é uma assassina treinada que fará de tudo para proteger sua casa.
270;Frozen: Uma Aventura Congelante;20/11/2013;7.247;16959;186.502;en;A destemida e otimista Anna sai em uma jornada épica, ao lado de Kristoff e sua leal rena Sven, para encontrar sua irmã Elsa, cujos poderes congelantes aprisionaram o reino de Arendelle em um inverno eterno. Encontrando condições de Everest, trolls místicos e um hilário boneco de neve chamado Olaf, Anna e Kristoff enfrentam obstáculos em uma corrida para salvar o reino.
271;Kelas Bintang - Salome;13/05/2023;10.0;2;186.285;ho;
272;Divertida Mente;17/06/2015;7.912;22627;186.068;en;Quando Riley, de 11 anos, se muda para uma nova cidade, suas Emoções - Alegria, Medo, Raiva, Nojinho e Tristeza trabalham juntas para ajudá-la na transição. Porém, uma série de eventos faz com que Alegria e Tristeza se envolvam em uma perigosa aventura que virará o mundo de Riley de cabeça para baixo.
273;Harry Potter e a Ordem da Fênix;08/07/2007;7.675;20012;18.595;en;Lord Voldemort está de volta, mas o Ministério da Magia está fazendo tudo a seu alcance para impedir que a comunidade mundial de bruxos descubra isso – incluindo indicar a oficial do Ministério, Dolores Umbridge, como a nova professora de Defesa Contra as Artes das Trevas de Hogwarts. Quando Umbridge se recusa a ensinar a prática de mágica defensiva, Rony e Hermione convencem Harry a secretamente treinar um grupo de estudantes para a guerra de magia que está prestes a estourar.
274;Sidelined: QB e Eu;06/02/2025;6.052;77;185.615;en;Dallas, uma dançarina sobrecarregada, mas obstinada, está determinada a entrar na melhor escola de dança do país — a alma mater de sua falecida mãe. No entanto, esse sonho de repente sai dos trilhos quando o astro do futebol atrevido, mas secretamente enlutado, Drayton, entra em sua vida com uma história única. Os dois conseguirão crescer em seus sonhos juntos, ou seus sonhos serão deixados de lado?
275;Viva: A Vida é uma Festa;27/10/2017;8.204;20075;184.986;en;Apesar da desconcertante proibição da música imposta pela sua família há várias gerações, Miguel sonha em tornar-se um músico de sucesso como o seu ídolo, Ernesto de la Cruz. Desesperado para provar o seu talento, Miguel encontra-se na deslumbrante e colorida Terra dos Mortos, seguindo uma misteriosa cadeia de acontecimentos. Pelo caminho, conhece o encantador Hector e, juntos, partem numa extraordinária viagem para desvendar a verdadeira história por detrás da história da família de Miguel.
276;Fear Cabin: The Last Weekend of Summer;27/09/2024;8.0;5;18.48;en;
