;titulo;data_lancamento;nota_media;numero_votos;popularidade;lingua_original;descricao
51;O Enforcador;30/05/2024;5.957;47;706.271;en;O pai problemático Leon leva o filho para acampar nos Apalaches. Culto local invoca o maligno demônio Hangman. Filho desaparece. Leon precisa confrontar o culto e o monstro para encontrá-lo em meio ao aumento da contagem de corpos.
52;Extermínio: A Evolução;18/06/2025;7.141;611;67.864;en;Já se passaram quase três décadas desde que o vírus da raiva escapou de um laboratório de armas biológicas. Agora, sob uma quarentena rigidamente imposta, alguns conseguiram encontrar maneiras de sobreviver em meio aos infectados. Um desses grupos vive em uma pequena ilha, ligada ao continente por uma única passagem fortemente protegida. Quando um dos membros parte em uma missão rumo ao sombrio coração do continente, ele descobre segredos, maravilhas e horrores que transformaram não apenas os infectados, mas também outros sobreviventes.
53;Minha Culpa;08/06/2023;7.8;3755;675.131;es;Noah é obrigada a mudar de cidade, deixando seus amigos e namorado para trás, após sua mãe se casar com um novo marido rico. Lá ela conhece Nick, seu novo meio-irmão, e os dois se apaixonam loucamente, vivendo um grande romance proibido.
54;새엄마의 욕망;29/05/2020;7.4;25;672.165;ko;
55;Intimidade;20/01/2001;6.2;524;657.646;en;Jay (Mark Rylance) e Claire (Kerry Fox) formam um casal que vive uma relação passional, onde se encontram todas as tardes de quarta-feira por um único motivo: sexo. O casal segue um ritual: tiram as roupas, fazem amor, se vestem e partem sem dizer uma só palavra. Sempre se sentem um pouco embaraçados, mas nada têm a dizer um ao outro e também nada sabem sobre suas vidas. Um dia, Jay decide conhecer melhor sua parceira. Ele a segue e descobre que ela é uma atriz, casada e com um filho. Seu marido é um simpático taxista, com quem Jay faz amizade. Ao saber do fato, Claire desaparece. Mas Jay não se conforma e parte em seu encalço.
56;Kuang Bao Ju Xi;27/03/2024;6.269;26;652.191;zh;
57;Resgate Implacável;26/03/2025;6.7;1381;64.056;en;Ele quer viver uma vida simples e ser um bom pai para sua filha. Mas quando a filha adolescente de seu chefe, Jenny, desaparece, ele é chamado para reempregar as habilidades que o tornaram uma figura lendária nas operações secretas.
58;Belyas;07/02/2025;7.3;10;640.068;tl;
59;Moana 2;21/11/2024;7.064;2572;635.704;en;Depois de receber um chamado inesperado de seus ancestrais navegadores, Moana vai viajar para mares distantes da Oceania, em águas perdidas em uma aventura perigosa.
60;Madea e o Casamento nas Bahamas;10/07/2025;5.8;45;634.974;en;Com seus vestidos floridos e sempre causando, Madea acompanha a família Simmons em uma viagem às Bahamas para o casamento de sua sobrinha-neta.
61;Influencer;18/05/2023;6.2;262;63.234;en;Durante um mochilão solitário e complicado pela Tailândia, a influenciadora Madison encontra CW, que viaja com facilidade e mostra a ela um estilo de vida mais desinibido. Porém, o interesse de CW por Madison toma um rumo sombrio.
62;सैयारा;18/07/2025;7.2;27;62.354;hi;
63;The Twisters;28/06/2024;6.0;60;621.756;en;
64;Des jours plus belles que la nuit;10/10/2009;6.0;104;617.851;fr;
65;Dose Dupla;30/08/2024;5.5;32;596.661;en;Acompanha um agente da polícia de Nova Iorque e a sua parceira novata, Angela, num dia difícil em que vivem o trabalho perigoso e rotineiro de ser agente na cidade.
66;Mamá Reinventada;08/05/2025;8.0;12;587.687;es;
67;O Contador 2;23/04/2025;7.189;1144;57.974;en;Quando um conhecido é assassinado, deixando para trás uma mensagem enigmática, Christian Wolff se sente compelido a resolver o caso. Percebendo que medidas extremas são necessárias, Wolff recruta seu irmão distante e altamente letal, Brax, e os dois descobrem uma conspiração mortal, tornando-se alvos de uma rede de assassinos.
68;Predador: Assassino de Assassinos;05/06/2025;7.962;737;578.903;en;Essa antologia animada original acompanha três dos guerreiros mais determinados da história da humanidade: uma pirata viking que guia o filho em uma busca sangrenta por vingança, um ninja no Japão feudal que se volta contra o irmão samurai em uma batalha brutal pela sucessão e um piloto da Segunda Guerra Mundial que voa para investigar uma ameaça sobrenatural à causa aliada.
69;爱上她的理由 番外 约定的未来;13/02/2024;10.0;1;576.095;zh;
70;女教師 生徒の眼の前で;09/04/1982;6.386;35;556.118;ja;
71;Smurfs;05/07/2025;6.7;29;549.535;en;Quando o Papai Smurf é misteriosamente levado pelos feiticeiros do mal, Razamel e Gargamel, Smurfette lidera os Smurfs em uma missão no mundo real para salvá-lo. Com a ajuda de novos amigos, os Smurfs precisam descobrir o que define seu destino para salvar o universo.
72;Playboy Playmate Workout;01/01/1983;10.0;1;545.947;en;
73;鬼吹灯：献王虫谷;22/09/2023;6.846;27;545.041;zh;
